日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2020-10-16,'000849,300非银,12075.1113,12151.3486,12000.2159,12014.6592,11995.9235,79.1878,0.6601,,14190739,30954783191.0,,
2020-10-15,'000849,300非银,11995.9235,12173.3749,11984.6396,12014.1202,11999.8309,-3.9074,-0.0326,,14609027,33303575056.0,,
2020-10-14,'000849,300非银,11999.8309,12086.4435,11954.6006,12081.1409,12101.3463,-101.5154,-0.8389,,14138891,29424763819.0,,
2020-10-13,'000849,300非银,12101.3463,12122.4884,11959.6895,12062.8177,12162.7206,-61.3743,-0.5046,,21927577,42105202952.0,,
2020-10-12,'000849,300非银,12162.7206,12199.1516,11799.0883,11799.7803,11720.254,442.4666,3.7752,,29731260,59224194479.0,,
2020-10-09,'000849,300非银,11720.254,11770.1749,11666.7539,11681.38,11519.9049,200.3491,1.7392,,15902662,31944209574.0,,
2020-09-30,'000849,300非银,11519.9049,11690.4894,11462.7393,11661.0412,11633.4587,-113.5538,-0.9761,,15146759,28913450270.0,,
2020-09-29,'000849,300非银,11633.4587,11762.2285,11632.8526,11738.1584,11670.2923,-36.8336,-0.3156,,15896850,30597406642.0,,
2020-09-28,'000849,300非银,11670.2923,11749.4407,11617.7596,11617.7596,11653.5631,16.7292,0.1436,,15747063,27188667503.0,,
2020-09-25,'000849,300非银,11653.5631,11716.0362,11522.2727,11581.5458,11512.9342,140.6289,1.2215,,20710460,35719955064.0,,
2020-09-24,'000849,300非银,11512.9342,11701.8974,11511.3093,11608.4153,11669.2338,-156.2996,-1.3394,,16873363,33190206557.0,,
2020-09-23,'000849,300非银,11669.2338,11798.7898,11653.6458,11781.7099,11750.952,-81.7182,-0.6954,,17406252,31109674042.0,,
2020-09-22,'000849,300非银,11750.952,12055.3989,11721.7181,11740.0629,11876.2109,-125.2589,-1.0547,,27293584,49998604642.0,,
2020-09-21,'000849,300非银,11876.2109,12218.5243,11874.6949,12196.6787,12017.8475,-141.6366,-1.1786,,29789292,60525901361.0,,
2020-09-18,'000849,300非银,12017.8475,12051.2731,11432.2216,11439.0404,11413.2326,604.6149,5.2975,,34109230,75864061850.0,,
2020-09-17,'000849,300非银,11413.2326,11527.2879,11349.9702,11451.0196,11459.6522,-46.4196,-0.4051,,14305643,31550967894.0,,
2020-09-16,'000849,300非银,11459.6522,11604.8957,11425.616,11532.028,11569.8753,-110.2231,-0.9527,,12649409,28066948749.0,,
2020-09-15,'000849,300非银,11569.8753,11596.8484,11420.9588,11477.1238,11488.7108,81.1645,0.7065,,11699443,29099122427.0,,
2020-09-14,'000849,300非银,11488.7108,11531.9974,11419.8368,11475.9226,11427.3156,61.3952,0.5373,,12871551,28200644432.0,,
2020-09-11,'000849,300非银,11427.3156,11456.6866,11315.6287,11344.0496,11376.32,50.9956,0.4483,,15069831,29656614428.0,,
2020-09-10,'000849,300非银,11376.32,11610.3719,11375.9178,11586.2057,11485.3345,-109.0145,-0.9492,,19230423,38242541189.0,,
2020-09-09,'000849,300非银,11485.3345,11646.2106,11443.3017,11544.3191,11702.2492,-216.9147,-1.8536,,19039298,38563179992.0,,
