日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2020-10-16,'399005,中小板指,9071.6003,9173.2824,9011.0541,9150.4243,9162.7638,-91.1635,-0.9949,2594382449,58337915939.3
2020-10-15,'399005,中小板指,9162.7638,9244.0944,9156.4537,9221.6487,9209.5302,-46.7664,-0.5078,3189005170,69158175021.0
2020-10-14,'399005,中小板指,9209.5302,9283.2031,9185.5111,9283.2031,9296.2138,-86.6836,-0.9325,3196134288,75485892406.6
2020-10-13,'399005,中小板指,9296.2138,9313.5185,9124.2835,9160.0226,9178.355,117.8588,1.2841,3033242635,79065006026.5
2020-10-12,'399005,中小板指,9178.355,9178.355,8987.5808,8995.8352,8936.3711,241.9839,2.7079,3817670935,91660844292.2
2020-10-09,'399005,中小板指,8936.3711,8963.0049,8843.6367,8866.7225,8671.9357,264.4354,3.0493,2815337268,72492711550.8
2020-09-30,'399005,中小板指,8671.9357,8755.8056,8609.4264,8668.6467,8646.254,25.6817,0.297,2153346707,50367079619.2
2020-09-29,'399005,中小板指,8646.254,8685.1051,8582.5976,8613.6871,8545.3288,100.9252,1.1811,1992992987,47083488224.3
2020-09-28,'399005,中小板指,8545.3288,8625.662,8541.3623,8596.6656,8559.0368,-13.708,-0.1602,1872695019,43594195682.5
2020-09-25,'399005,中小板指,8559.0368,8624.4482,8525.2636,8591.0783,8548.5261,10.5107,0.123,2129071196,46094784065.8
2020-09-24,'399005,中小板指,8548.5261,8680.5723,8548.5261,8661.7369,8726.6391,-178.113,-2.041,2301942616,50381180006.6
2020-09-23,'399005,中小板指,8726.6391,8753.3415,8653.9018,8692.7902,8661.8819,64.7572,0.7476,2122709617,49941112229.8
2020-09-22,'399005,中小板指,8661.8819,8789.1101,8632.2307,8687.0229,8742.8097,-80.9278,-0.9256,2665729015,56125613285.1
2020-09-21,'399005,中小板指,8742.8097,8855.6054,8731.2366,8851.5721,8828.556,-85.7463,-0.9712,2884378340,63513991209.7
2020-09-18,'399005,中小板指,8828.556,8828.556,8672.783,8681.0555,8681.4432,147.1128,1.6946,3170170646,67061001141.2
2020-09-17,'399005,中小板指,8681.4432,8746.3769,8569.3441,8633.9253,8672.9662,8.477,0.0977,2634423466,60947235531.6
2020-09-16,'399005,中小板指,8672.9662,8760.1905,8620.2865,8736.129,8760.7309,-87.7647,-1.0018,2549155107,58051338991.1
2020-09-15,'399005,中小板指,8760.7309,8761.9009,8624.4119,8650.4298,8651.32,109.4109,1.2647,2387818089,56096597180.3
2020-09-14,'399005,中小板指,8651.32,8717.249,8583.4112,8655.6725,8613.314,38.006,0.4412,2661360568,59160503829.2
2020-09-11,'399005,中小板指,8613.314,8613.314,8448.476,8448.476,8453.8857,159.4283,1.8859,2488917422,51851722384.9
2020-09-10,'399005,中小板指,8453.8857,8656.4802,8434.1699,8595.6796,8486.7386,-32.8529,-0.3871,3124304176,58515045223.4
2020-09-09,'399005,中小板指,8486.7386,8645.6742,8412.0443,8645.6742,8769.8381,-283.0995,-3.2281,3640122994,68129738884.9
2020-09-08,'399005,中小板指,8769.8381,8847.4576,8669.3258,8826.8871,8809.0361,-39.198,-0.445,3080290464,63601382634.4
2020-09-07,'399005,中小板指,8809.0361,9110.5579,8771.1188,9064.606,9084.6239,-275.5878,-3.0336,3515054206,79973581346.9
2020-09-04,'399005,中小板指,9084.6239,9099.7739,8953.5332,8957.982,9159.8981,-75.2742,-0.8218,2666049614,62746034299.0
2020-09-03,'399005,中小板指,9159.8981,9264.8695,9128.929,9253.2584,9268.3009,-108.4028,-1.1696,3122362300,71097110012.9
2020-09-02,'399005,中小板指,9268.3009,9310.7829,9185.5832,9277.2199,9239.1413,29.1596,0.3156,3496047146,80172728140.3
2020-09-01,'399005,中小板指,9239.1413,9239.1413,9097.7406,9138.6219,9155.033,84.1083,0.9187,3364838769,78637851769.0
2020-08-31,'399005,中小板指,9155.033,9324.5267,9155.033,9294.8593,9269.864,-114.831,-1.2388,3708855640,84644685944.1
2020-08-28,'399005,中小板指,9269.864,9279.1831,9026.2983,9047.1729,9070.4461,199.4179,2.1985,3273234883,72740954565.2
2020-08-27,'399005,中小板指,9070.4461,9083.3614,8958.2279,9048.2757,9029.2152,41.2309,0.4566,2801782710,63679371404.4
2020-08-26,'399005,中小板指,9029.2152,9226.6202,8994.5255,9207.7378,9170.9958,-141.7806,-1.546,3728638787,81428510712.9
2020-08-25,'399005,中小板指,9170.9958,9271.0324,9139.0127,9233.7004,9212.3961,-41.4003,-0.4494,3718411311,78224573308.6
2020-08-24,'399005,中小板指,9212.3961,9238.2148,9060.1919,9152.2698,9057.3292,155.0669,1.7121,4283369617,92747490735.9
2020-08-21,'399005,中小板指,9057.3292,9109.8688,8990.4642,8998.5363,8898.0639,159.2653,1.7899,3887724204,84832658109.0
2020-08-20,'399005,中小板指,8898.0639,8992.7057,8860.5987,8933.7045,8991.0107,-92.9468,-1.0338,3361982430,70943241773.9
2020-08-19,'399005,中小板指,8991.0107,9156.6625,8986.0568,9156.6625,9175.1689,-184.1582,-2.0071,4380470071,91539999686.4
2020-08-18,'399005,中小板指,9175.1689,9208.1253,9102.7864,9177.4852,9180.78,-5.6111,-0.0611,4538827062,92104304209.4
2020-08-17,'399005,中小板指,9180.78,9188.097,9004.6435,9033.0572,9024.8854,155.8946,1.7274,5576536337,1.03127540574e+11
